status_type,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,Cluster
1,2018-04-21,150,0,0,150,0,0,0,0,0,1
1,2018-04-21,111,0,0,111,0,0,0,0,0,1
3,2018-03-20,18,0,0,18,0,0,0,0,0,0
3,2018-03-19,37,0,1,37,0,0,0,0,0,2
3,2018-01-19,35,1,0,35,0,0,0,0,0,2
3,2018-01-18,94,1,1,94,0,0,0,0,0,1
3,2018-01-16,62,1,0,62,0,0,0,0,0,2
1,2017-12-10,24,12,0,24,0,0,0,0,0,0
1,2017-11-16,76,17,0,76,0,0,0,0,0,1
1,2017-10-30,27,10,0,27,0,0,0,0,0,0
1,2017-10-15,51,11,0,51,0,0,0,0,0,2
1,2017-10-06,15,11,0,15,0,0,0,0,0,0
1,2017-10-04,16,12,0,16,0,0,0,0,0,0
1,2017-10-01,29,12,0,29,0,0,0,0,0,2
3,2017-10-01,28,6,0,28,0,0,0,0,0,0
1,2017-09-28,8,8,0,8,0,0,0,0,0,0
1,2017-09-28,10,9,0,10,0,0,0,0,0,0
1,2017-09-26,39,8,0,39,0,0,0,0,0,2
1,2017-09-06,53,12,0,53,0,0,0,0,0,2
3,2017-08-25,26,7,0,26,0,0,0,0,0,0
1,2017-08-18,18,8,0,18,0,0,0,0,0,0
1,2017-08-09,47,7,0,47,0,0,0,0,0,2
1,2017-08-06,30,9,0,30,0,0,0,0,0,2
1,2017-08-06,57,7,0,57,0,0,0,0,0,2
1,2017-08-03,19,3,0,19,0,0,0,0,0,0
1,2017-08-02,133,7,0,133,0,0,0,0,0,1
3,2017-07-28,29,6,1,29,0,0,0,0,0,2
1,2017-07-13,51,10,0,51,0,0,0,0,0,2
3,2017-05-13,22,0,0,22,0,0,0,0,0,0
3,2017-05-11,32,0,2,32,0,0,0,0,0,2
3,2017-05-08,51,0,1,51,0,0,0,0,0,2
3,2017-05-08,34,4,0,34,0,0,0,0,0,2
0,2017-05-05,15,0,0,15,0,0,0,0,0,0
0,2017-04-26,33,1,1,33,0,0,0,0,0,2
1,2017-04-12,48,6,0,48,0,0,0,0,0,2
3,2017-04-04,7,5,0,7,0,0,0,0,0,0
1,2017-03-21,33,9,1,33,0,0,0,0,0,2
1,2017-03-21,72,1,0,72,0,0,0,0,0,2
2,2017-03-02,84,7,1,84,0,0,0,0,0,1
0,2017-02-27,46,3,1,46,0,0,0,0,0,2
2,2017-01-14,102,1,0,102,0,0,0,0,0,1
3,2016-12-15,65,4,1,65,0,0,0,0,0,2
1,2016-11-13,77,4,2,77,0,0,0,0,0,1
1,2016-10-26,52,0,0,52,0,0,0,0,0,2
3,2016-10-25,38,7,1,38,0,0,0,0,0,2
1,2016-10-20,1,0,1,1,0,0,0,0,0,0
1,2016-10-18,46,0,0,46,0,0,0,0,0,2
1,2016-10-18,68,3,0,68,0,0,0,0,0,2
1,2016-10-16,64,0,1,64,0,0,0,0,0,2
1,2016-10-14,30,0,0,30,0,0,0,0,0,2
3,2016-10-11,63,14,0,63,0,0,0,0,0,2
3,2016-09-19,51,10,1,51,0,0,0,0,0,2
2,2016-07-08,74,1,0,74,0,0,0,0,0,2
2,2016-07-05,50,10,0,50,0,0,0,0,0,2
1,2016-07-02,90,2,0,90,0,0,0,0,0,1
2,2016-06-29,90,14,0,90,0,0,0,0,0,1
1,2016-06-24,0,0,1,0,0,0,0,0,0,0
1,2016-06-13,49,3,0,49,0,0,0,0,0,2
2,2016-06-10,78,16,0,78,0,0,0,0,0,1
1,2016-05-30,139,18,0,139,0,0,0,0,0,1
2,2016-05-27,57,19,0,57,0,0,0,0,0,2
1,2016-05-24,0,0,1,0,0,0,0,0,0,0
0,2016-05-17,27,9,0,27,0,0,0,0,0,0
2,2016-05-17,59,16,1,59,0,0,0,0,0,2
1,2016-05-12,116,24,0,116,0,0,0,0,0,1
1,2016-05-11,21,10,0,21,0,0,0,0,0,0
1,2016-05-11,19,8,0,19,0,0,0,0,0,0
1,2016-05-10,48,14,0,48,0,0,0,0,0,2
1,2016-05-09,96,18,1,96,0,0,0,0,0,1
1,2016-05-07,20,11,0,20,0,0,0,0,0,0
1,2016-05-07,74,15,0,74,0,0,0,0,0,2
1,2016-05-03,139,16,0,139,0,0,0,0,0,1
1,2016-04-30,64,11,0,64,0,0,0,0,0,2
3,2016-04-22,92,2,0,92,0,0,0,0,0,1
1,2016-04-20,131,0,0,131,0,0,0,0,0,1
3,2016-04-20,74,10,0,74,0,0,0,0,0,2
1,2016-04-20,67,11,0,67,0,0,0,0,0,2
2,2016-04-20,35,2,0,35,0,0,0,0,0,2
1,2016-04-19,99,14,1,99,0,0,0,0,0,1
1,2016-04-13,70,21,1,70,0,0,0,0,0,2
1,2016-04-12,58,0,0,58,0,0,0,0,0,2
3,2016-04-12,39,5,1,39,0,0,0,0,0,2
3,2016-04-12,78,13,0,78,0,0,0,0,0,1
1,2016-04-09,51,8,0,51,0,0,0,0,0,2
3,2016-04-09,103,25,0,103,0,0,0,0,0,1
1,2016-04-09,63,9,0,63,0,0,0,0,0,2
0,2016-04-07,44,1,0,44,0,0,0,0,0,2
1,2016-04-06,145,2,0,145,0,0,0,0,0,1
3,2016-04-04,97,29,0,97,0,0,0,0,0,1
0,2016-04-02,43,4,1,43,0,0,0,0,0,2
3,2016-04-01,119,31,2,119,0,0,0,0,0,1
3,2016-03-29,146,19,0,146,0,0,0,0,0,1
3,2016-03-29,105,10,0,105,0,0,0,0,0,1
3,2016-03-29,113,2,1,113,0,0,0,0,0,1
3,2016-03-29,102,13,1,102,0,0,0,0,0,1
1,2016-03-26,31,14,0,31,0,0,0,0,0,2
1,2016-03-24,147,1,0,147,0,0,0,0,0,1
3,2016-03-23,112,18,0,112,0,0,0,0,0,1
2,2016-03-23,118,6,0,118,0,0,0,0,0,1
2,2016-03-23,118,3,0,118,0,0,0,0,0,1
2,2016-03-17,111,11,0,111,0,0,0,0,0,1
2,2016-03-16,103,8,0,103,0,0,0,0,0,1
1,2016-03-15,26,2,0,26,0,0,0,0,0,0
1,2016-03-13,90,13,1,90,0,0,0,0,0,1
3,2016-03-13,22,2,1,22,0,0,0,0,0,0
3,2016-03-08,45,1,0,45,0,0,0,0,0,2
1,2016-03-08,110,3,0,110,0,0,0,0,0,1
0,2016-03-04,51,0,0,51,0,0,0,0,0,2
2,2016-03-03,58,10,0,58,0,0,0,0,0,2
3,2016-03-03,37,1,0,37,0,0,0,0,0,2
2,2016-03-01,56,9,1,56,0,0,0,0,0,2
3,2016-02-28,71,6,2,71,0,0,0,0,0,2
2,2016-02-20,68,13,1,68,0,0,0,0,0,2
2,2016-02-18,106,19,0,106,0,0,0,0,0,1
2,2016-02-18,73,19,2,73,0,0,0,0,0,2
2,2016-02-16,68,14,0,68,0,0,0,0,0,2
1,2016-02-14,12,5,0,12,0,0,0,0,0,0
1,2016-02-14,10,4,0,10,0,0,0,0,0,0
3,2016-02-13,35,0,0,35,0,0,0,0,0,2
0,2016-02-13,40,1,0,40,0,0,0,0,0,2
0,2016-02-12,6,0,0,6,0,0,0,0,0,0
1,2016-02-12,80,4,0,80,0,0,0,0,0,1
1,2016-02-12,83,8,0,83,0,0,0,0,0,1
1,2016-02-12,66,2,1,66,0,0,0,0,0,2
1,2016-02-07,151,0,0,151,0,0,0,0,0,1
2,2016-02-02,42,9,0,42,0,0,0,0,0,2
1,2016-01-26,140,6,0,140,0,0,0,0,0,1
1,2016-01-23,121,0,1,121,0,0,0,0,0,1
1,2016-01-22,49,9,0,49,0,0,0,0,0,2
2,2016-01-15,111,12,0,111,0,0,0,0,0,1
1,2016-01-13,130,19,1,130,0,0,0,0,0,1
1,2016-01-11,100,11,0,100,0,0,0,0,0,1
3,2016-01-11,50,11,0,50,0,0,0,0,0,2
1,2016-01-10,108,16,2,108,0,0,0,0,0,1
1,2016-01-05,152,30,0,152,0,0,0,0,0,1
2,2016-01-03,108,8,0,108,0,0,0,0,0,1
1,2016-01-03,25,8,0,25,0,0,0,0,0,0
1,2016-01-03,21,2,0,21,0,0,0,0,0,0
1,2015-12-28,58,3,0,58,0,0,0,0,0,2
1,2015-12-28,45,0,0,45,0,0,0,0,0,2
1,2015-12-28,69,0,0,69,0,0,0,0,0,2
1,2015-12-28,135,2,0,135,0,0,0,0,0,1
