,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
522951,580482,21974,SET OF 36 PAISLEY FLOWER DOILIES,3,2011-12-04 12:44:00,1.45,16033.0,United Kingdom
167021,550968,37446,MINI CAKE STAND WITH HANGING CAKES,8,2011-04-21 16:59:00,1.45,14961.0,United Kingdom
514164,579678,85152,HAND OVER THE CHOCOLATE   SIGN ,12,2011-11-30 13:22:00,2.1,18230.0,United Kingdom
329754,565853,23439,HAND WARMER RED LOVE HEART,12,2011-09-07 13:19:00,2.1,13756.0,United Kingdom
32573,539089,22730,ALARM CLOCK BAKELIKE IVORY,4,2010-12-16 09:46:00,3.75,15246.0,United Kingdom
258694,559668,20992,JAZZ HEARTS PURSE NOTEBOOK,24,2011-07-11 13:40:00,0.39,13394.0,United Kingdom
252195,C559079,46000M,POLYESTER FILLER PAD 45x45cm,-1,2011-07-06 10:44:00,1.55,17841.0,United Kingdom
146289,548984,84997D,CHILDRENS CUTLERY POLKADOT PINK,4,2011-04-05 12:37:00,4.15,14546.0,United Kingdom
223557,556484,21754,HOME BUILDING BLOCK WORD,1,2011-06-12 13:17:00,5.95,16938.0,United Kingdom
479343,577156,22138,BAKING SET 9 PIECE RETROSPOT ,6,2011-11-18 09:57:00,4.95,13471.0,United Kingdom
185076,552730,21272,SALLE DE BAIN HOOK,12,2011-05-11 10:42:00,1.25,16837.0,United Kingdom
448291,575045,23301,GARDENERS KNEELING PAD KEEP CALM ,12,2011-11-08 12:09:00,1.65,14910.0,United Kingdom
476345,577010,23542,WALL ART 70'S ALPHABET ,1,2011-11-17 12:11:00,8.25,15506.0,United Kingdom
465015,576200,23221,REINDEER HEART DECORATION SILVER,10,2011-11-14 12:14:00,0.83,15572.0,United Kingdom
477246,577053,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2011-11-17 14:17:00,2.95,13001.0,United Kingdom
271608,560711,22677,FRENCH BLUE METAL DOOR SIGN 2,2,2011-07-20 12:58:00,1.25,17841.0,United Kingdom
158354,550286,47566,PARTY BUNTING,12,2011-04-15 14:14:00,4.95,15027.0,United Kingdom
517590,580064,23084,RABBIT NIGHT LIGHT,24,2011-12-01 13:32:00,1.79,18077.0,United Kingdom
411700,572227,23503,PLAYING CARDS KEEP CALM & CARRY ON,6,2011-10-21 14:01:00,1.25,15051.0,United Kingdom
49051,540499,22423,REGENCY CAKESTAND 3 TIER,3,2011-01-09 10:21:00,12.75,16923.0,United Kingdom
39069,539630,22835,HOT WATER BOTTLE I AM SO POORLY,24,2010-12-20 14:59:00,4.25,17230.0,United Kingdom
82958,543277,85099C,JUMBO  BAG BAROQUE BLACK WHITE,10,2011-02-06 14:33:00,1.95,15808.0,United Kingdom
